name,lat,lon,mode
Garstedt,53.685448,9.985913,U
369006,53.677910,9.993485,U
Wandsbek-Gartenstadt,53.592375,10.074966,U
Farmsen,53.607078,10.117809,U
Norderstedt Mitte,53.707939,9.992300,U
Lattenkamp (Sporthalle),53.599907,9.994689,U
Oldenfelde,53.617530,10.128853,U
Berne,53.626952,10.139860,U
Meiendorfer Weg,53.638871,10.156269,U
Volksdorf,53.650484,10.163241,U
Buchenkamp,53.652925,10.185588,U
349000,53.655105,10.194372,U
Ahrensburg West,53.664520,10.219984,U
Ahrensburg Ost,53.661257,10.242824,U
359012,53.655309,10.256443,U
Schmalenbeck,53.653119,10.260644,U
Kiekut,53.653124,10.280428,U
Großhansdorf,53.662609,10.286661,U
Großhansdorf,53.662590,10.286782,U
Buckhorn,53.664728,10.155600,U
729007,53.675246,10.150189,U
Hoisbüttel,53.678022,10.147641,U
729003,53.679984,10.145660,U
Ohlstedt,53.694547,10.137175,U
Ohlstedt,53.694549,10.137054,U
Volksdorf,53.650522,10.163031,U
Volksdorf,53.650503,10.163121,U
Schmalenbeck,53.653172,10.260706,U
359013,53.655291,10.256467,U
Ahrensburg West,53.664583,10.220001,U
349001,53.655104,10.194370,U
Buchenkamp,53.652978,10.185589,U
Meiendorfer Weg,53.638916,10.156195,U
Berne,53.626980,10.139770,U
Oldenfelde,53.617563,10.128780,U
Farmsen,53.607146,10.117571,U
729002,53.679860,10.145715,U
Hoisbüttel,53.677996,10.147534,U
729006,53.675251,10.150138,U
Buckhorn,53.664720,10.155509,U
Trabrennbahn,53.598282,10.102155,U
Wandsbek-Gartenstadt,53.592528,10.074849,U
Alter Teichweg,53.586601,10.064490,U
Straßburger Straße,53.581754,10.067992,U
Wandsbek Markt,53.571736,10.066819,U
Wandsbeker Chaussee,53.569845,10.057622,U
Ritterstraße,53.567665,10.046550,U
Wartenau,53.564778,10.035582,U
Lübecker Straße,53.559547,10.027365,U
Lohmühlenstraße,53.556618,10.018979,U
Hauptbahnhof Süd,53.552023,10.009770,U
Steinstraße,53.549259,10.006189,U
Meßberg,53.547722,10.000457,U
Jungfernstieg,53.552428,9.993695,U
Stephansplatz (Oper/CCH),53.558694,9.989386,U
Hallerstraße,53.572809,9.989086,U
Klosterstern,53.581802,9.988133,U
Kellinghusenstraße,53.588823,9.990970,U
Hudtwalckerstraße,53.594621,9.996135,U
Alsterdorf,53.606370,10.011596,U
Sengelmannstraße (City Nord),53.609469,10.021849,U
Ohlsdorf,53.620763,10.031528,U
Klein Borstel,53.627982,10.033351,U
Fuhlsbüttel,53.632541,10.026659,U
Fuhlsbüttel Nord,53.639661,10.016762,U
Langenhorn Markt,53.649003,10.017263,U
Langenhorn Nord,53.660989,10.017622,U
Kiwittsmoor,53.675187,10.015938,U
Ochsenzoll,53.678122,10.001450,U
369007,53.677624,9.994707,U
Garstedt,53.685447,9.986004,U
Richtweg,53.695686,9.989771,U
Blankenese,53.564472,9.815110,S
Hochkamp,53.561283,9.842123,S
Klein Flottbek (Botanischer Garten),53.558115,9.860501,S
Othmarschen,53.559120,9.885286,S
Bahrenfeld,53.560023,9.911051,S
Ottensen,53.559632,9.926211,S
Altona,53.551845,9.934443,S
Königstraße,53.547745,9.944009,S
Reeperbahn,53.549575,9.957945,S
Landungsbrücken,53.546168,9.971477,S
Stadthausbrücke,53.549430,9.984572,S
Jungfernstieg,53.552724,9.994803,S
Hamburg Hbf,53.552824,10.007601,S
Berliner Tor,53.553047,10.024627,S
Blankenese,53.564408,9.815199,S
Blankenese,53.564526,9.815051,S
Wedel,53.581894,9.704950,S
Rissen,53.583155,9.757321,S
Sülldorf,53.581116,9.797267,S
Iserbrook,53.576589,9.814317,S
Wedel,53.581848,9.705040,S
Holstenstraße,53.561828,9.949318,S
Sternschanze (Messe),53.563750,9.966220,S
Dammtor (Messe/CCH),53.560917,9.989608,S
Berliner Tor,53.552965,10.024746,S
Landwehr,53.561198,10.038030,S
Hasselbrook,53.564725,10.055956,S
Wandsbeker Chaussee,53.569766,10.060037,S
Friedrichsberg,53.576348,10.057469,S
Barmbek,53.587505,10.044504,S
Alte Wöhr (Stadtpark),53.597728,10.035512,S
Rübenkamp (City Nord),53.605816,10.033217,S
Ohlsdorf,53.620591,10.031825,S
Hamburg Airport (Flughafen),53.632486,10.006703,S
Hamburg Airport (Flughafen),53.632486,10.006703,S
Ottensen,53.559580,9.926203,S
Kornweg (Klein Borstel),53.632487,10.054565,S
Hoheneichen,53.635540,10.068036,S
Wellingsbüttel,53.641176,10.082724,S
Poppenbüttel,53.651955,10.093981,S
Poppenbüttel,53.651993,10.093786,S
Altona,53.551853,9.934625,S
Wellingsbüttel,53.641249,10.082605,S
Hoheneichen,53.635630,10.067978,S
Kornweg (Klein Borstel),53.632578,10.054507,S
Ohlsdorf,53.620601,10.031734,S
Rübenkamp (City Nord),53.605808,10.033111,S
Alte Wöhr (Stadtpark),53.597711,10.035421,S
Barmbek,53.587433,10.044472,S
Friedrichsberg,53.576349,10.057363,S
Wandsbeker Chaussee,53.569749,10.059931,S
Hasselbrook,53.564770,10.055912,S
Landwehr,53.561253,10.037971,S
Berliner Tor,53.553084,10.024568,S
Hamburg Hbf,53.552839,10.007949,S
Jungfernstieg,53.552788,9.994654,S
Stadthausbrücke,53.549529,9.984544,S
Landungsbrücken,53.546240,9.971493,S
Reeperbahn,53.549647,9.957947,S
Königstraße,53.547790,9.943949,S
Altona,53.551842,9.934926,S
Bahrenfeld,53.560104,9.911038,S
Othmarschen,53.559210,9.885273,S
Klein Flottbek (Botanischer Garten),53.558179,9.860472,S
Hochkamp,53.561328,9.842200,S
Altona,53.551843,9.934730,S
Sülldorf,53.581170,9.797268,S
Rissen,53.583217,9.757338,S
Dammtor (Messe/CCH),53.560961,9.989715,S
Sternschanze (Messe),53.563813,9.966221,S
Holstenstraße,53.561899,9.949350,S
Hamburg Hbf,53.552839,10.007949,S
Buxtehude,53.470538,9.688269,S
Horneburg,53.508913,9.576371,S
Neugraben,53.474118,9.852022,S
Horneburg,53.508851,9.576204,S
Buxtehude,53.470466,9.688237,S
Hamburg Hbf,53.552806,10.007495,S
Berliner Tor,53.553312,10.024120,S
Rothenburgsort,53.538663,10.043165,S
Tiefstack,53.530957,10.066140,S
Billwerder-Moorfleet,53.516059,10.095918,S
Mittlerer Landweg,53.497827,10.131629,S
Allermöhe,53.490391,10.158447,S
Nettelnburg,53.487930,10.181205,S
Bergedorf,53.489846,10.206209,S
Reinbek,53.508331,10.253191,S
Wohltorf,53.520594,10.278024,S
Aumühle,53.530018,10.314669,S
Aumühle,53.529914,10.314334,S
Bergedorf,53.489910,10.206135,S
Wohltorf,53.520631,10.277950,S
Reinbek,53.508385,10.253162,S
Nettelnburg,53.487993,10.181237,S
Allermöhe,53.490453,10.158478,S
Mittlerer Landweg,53.497880,10.131721,S
Billwerder-Moorfleet,53.516166,10.096026,S
Tiefstack,53.531002,10.066201,S
Rothenburgsort,53.538726,10.043196,S
Berliner Tor,53.552574,10.025325,S
Bergedorf,53.489973,10.206047,S
Diebsteich,53.568226,9.934442,S
Langenfelde,53.579565,9.930978,S
Stellingen (Arenen),53.589789,9.918412,S
Eidelstedt,53.596288,9.906273,S
Elbgaustraße,53.602893,9.893091,S
Elbgaustraße,53.602848,9.893029,S
Eidelstedt,53.596253,9.906212,S
Stellingen (Arenen),53.589727,9.918335,S
Langenfelde,53.579540,9.930827,S
Diebsteich,53.568218,9.934246,S
Fischbek,53.474725,9.819277,S
Neu Wulmstorf,53.473114,9.788914,S
Buxtehude,53.470421,9.688221,S
Hammerbrook (City Süd),53.546089,10.024021,S
Elbbrücken,53.534958,10.024793,S
Veddel (BallinStadt),53.521176,10.012971,S
Wilhelmsburg,53.498164,10.006696,S
Harburg,53.457030,9.991405,S
Harburg Rathaus,53.460698,9.980348,S
Harburg Rathaus,53.460778,9.980365,S
Heimfeld (TU Hamburg),53.465566,9.962903,S
Neuwiedenthal,53.473101,9.875873,S
Neukloster,53.481384,9.639549,S
Dollern,53.545805,9.557834,S
Agathenburg,53.564166,9.531302,S
Stade,53.595938,9.477886,S
Agathenburg,53.564076,9.531180,S
Dollern,53.545228,9.558128,S
Neukloster,53.481313,9.639457,S
Neugraben,53.473975,9.851989,S
Neuwiedenthal,53.473047,9.875872,S
Heimfeld (TU Hamburg),53.465504,9.962811,S
Harburg Rathaus,53.460644,9.980332,S
Harburg,53.456895,9.991416,S
Wilhelmsburg,53.498154,10.006816,S
Veddel (BallinStadt),53.521158,10.013061,S
Elbbrücken,53.534921,10.024943,S
Hammerbrook (City Süd),53.546115,10.024112,S
Neu Wulmstorf,53.473042,9.788943,S
Fischbek,53.474815,9.819248,S
Pinneberg,53.654925,9.797813,S
Thesdorf,53.644359,9.813823,S
Halstenbek,53.630329,9.839190,S
Krupunder,53.615912,9.867524,S
Pinneberg,53.654532,9.798803,S
Neugraben,53.474064,9.852021,S
Krupunder,53.615956,9.867585,S
Halstenbek,53.630382,9.839252,S
Thesdorf,53.644403,9.813885,S
